EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=604800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
17,3.2259,3.2832,3.1115,0.0000,91363416,5
18,3.0907,3.2259,3.0647,0.0000,84821592,5
19,3.252,3.2572,3.0751,0.0000,91762104,5
20,3.1635,3.2884,3.1531,0.0000,102918936,5
a512341200,3.2468,3.304,3.1375,0.0000,73134000,5
a513032400,3.0699,3.304,3.0282,0.0000,97059504,5
1,3.1271,3.1947,2.9762,0.0000,94311120,5
2,3.2155,3.2988,3.1115,0.0000,78068400,5
3,3.3196,3.4237,3.2155,0.0000,75442800,5
TIMEZONE_OFFSET=-240
a515448000,3.1999,3.4341,3.1739,0.0000,96163392,5
1,3.1999,3.2832,3.1479,0.0000,87473904,5
2,3.1479,3.2259,3.1271,0.0000,82969392,5
3,3.3248,3.3352,3.1479,0.0000,79827000,5
4,3.3196,3.3977,3.3092,0.0000,71940000,5
5,3.4029,3.4185,3.2988,0.0000,85830696,5
6,3.4029,3.4185,3.2884,0.0000,82215000,5
7,3.3716,3.4393,3.33,0.0000,96127272,5
8,3.356,3.4133,3.33,0.0000,84838608,5
a520804800,3.3404,3.4341,3.3352,0.0000,58647408,5
a521496000,3.1739,3.3352,3.1011,0.0000,114890160,5
1,3.1479,3.2104,3.1219,0.0000,106683432,5
2,3.0959,3.1583,3.0386,0.0000,70954992,5
3,2.997,3.0959,2.9658,0.0000,72168216,5
4,3.049,3.0907,2.971,0.0000,63348960,5
5,3.1999,3.2259,3.049,0.0000,85777800,5
6,3.1219,3.2051,3.1115,0.0000,57035400,5
7,3.2728,3.304,3.0907,0.0000,80708712,5
8,3.2259,3.304,3.1323,0.0000,90356712,5
9,2.9866,3.3196,2.9762,0.0000,132711000,5
10,2.9606,3.0594,2.9554,0.0000,95911176,5
11,3.0178,3.0647,2.9762,0.0000,100052880,5
12,2.9606,3.0751,2.9398,0.0000,78866088,5
13,3.0751,3.1115,2.945,0.0000,89587992,5
14,3.1947,3.2207,3.0699,0.0000,86916528,5
15,3.1791,3.2259,3.1271,0.0000,74121384,5
TIMEZONE_OFFSET=-300
a531176400,3.1739,3.2259,3.1427,0.0000,69871392,5
1,3.2468,3.2936,3.1947,0.0000,88557264,5
2,3.1999,3.304,3.1583,0.0000,72847992,5
3,3.2884,3.3092,3.1063,0.0000,114582480,5
4,3.4549,3.4913,3.2936,0.0000,116463624,5
5,3.6006,3.6942,3.3924,0.0000,206998200,5
6,3.5121,3.6734,3.5069,0.0000,86827608,5
